model,train/loss,train/mClassAcc,train/mAcc,val/loss,val/mClassAcc,val/mAcc,params
DeepNormalizedCNNOpt,"(1.518925666809082, 1.2845218181610107, 1.1387443542480469, 1.3670759201049805, 1.1594184637069702, 1.3586804866790771, 1.2028992176055908, 0.9715381860733032, 0.979953408241272, 1.1013126373291016)","(0.32320667058229446, 0.43122337460517884, 0.46781931519508363, 0.5052204668521881, 0.5420544803142547, 0.5558854758739471, 0.5803273230791092, 0.5929325371980667, 0.6065024316310883, 0.6235604584217072)","(0.3232, 0.4312, 0.4679, 0.5052, 0.5423, 0.556, 0.5805, 0.5931, 0.6068, 0.6239)","(1.53023362159729, 3.21211576461792, 1.1335011720657349, 1.312343716621399, 1.0726343393325806, 0.693435788154602, 0.9298151731491089, 1.3684091567993164, 0.8795141577720642, 0.8502228260040283)","(0.43167197406291963, 0.255343962367624, 0.49867467433214185, 0.5074490487575531, 0.49178942292928696, 0.5755921229720116, 0.5536023944616317, 0.5748440265655518, 0.545036930218339, 0.6268156111240387)","(0.4319, 0.2573, 0.4988, 0.5068, 0.4928, 0.5756, 0.5534, 0.5753, 0.5459, 0.6267)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.075554132461548, 2.2361271381378174, 2.26452898979187, 2.3027095794677734, 2.3688840866088867, 2.356729507446289, 2.446167230606079, 2.208587408065796, 2.239668607711792, 2.121605157852173)","(0.1484723798930645, 0.16341344714164735, 0.1685086779296398, 0.15829454958438874, 0.14321930035948754, 0.14431040324270725, 0.16131069138646126, 0.1564001716673374, 0.1647844471037388, 0.17142599262297153)","(0.1495, 0.1645, 0.1693, 0.1591, 0.1442, 0.145, 0.1624, 0.1569, 0.1654, 0.1724)","(2.342519521713257, 2.138852834701538, 2.1662306785583496, 2.1498849391937256, 2.26765775680542, 2.2728707790374756, 2.3320116996765137, 2.074209690093994, 2.2063851356506348, 2.1089601516723633)","(0.17206318117678165, 0.1794182498008013, 0.1730712059419602, 0.16990153938531877, 0.14231750876642763, 0.1625229187309742, 0.1724772121757269, 0.18146189162507653, 0.18317940831184387, 0.19222593577578664)","(0.1716, 0.1788, 0.1729, 0.1708, 0.1422, 0.1629, 0.1719, 0.1819, 0.1829, 0.1916)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(2.4910900592803955, 2.341560125350952, 2.102630853652954, 2.4355549812316895, 2.2063512802124023, 2.1083922386169434, 2.0433077812194824, 2.1271162033081055, 2.060051679611206, 2.066160202026367)","(0.1477980889379978, 0.15585233606398105, 0.17072560004889964, 0.16999926120042802, 0.17271300042048096, 0.18113599717617035, 0.19101068042218686, 0.19054462602362038, 0.19946965239942074, 0.1986250076442957)","(0.1484, 0.1567, 0.172, 0.1714, 0.1741, 0.183, 0.1926, 0.1929, 0.2015, 0.2006)","(2.3283536434173584, 2.5427210330963135, 2.0722742080688477, 2.3670103549957275, 2.2532598972320557, 2.159766912460327, 2.0139613151550293, 1.888662338256836, 2.0561940670013428, 1.7218586206436157)","(0.15852259481325745, 0.17185131087899208, 0.17084786044433714, 0.16036152727901937, 0.1911237645894289, 0.1894494777545333, 0.20967400101944805, 0.20481313357595354, 0.20630802707746626, 0.2062079600058496)","(0.1589, 0.1723, 0.1717, 0.1612, 0.1909, 0.1892, 0.2089, 0.2049, 0.2051, 0.2053)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.4180071353912354, 1.9530775547027588, 2.240640163421631, 2.1876440048217773, 2.2169692516326904, 2.3372156620025635, 2.0240378379821777, 2.17289662361145, 2.043588399887085, 2.169959783554077)","(0.1918918341398239, 0.19210464134812355, 0.21133612394332885, 0.21185264661908149, 0.2170753162354231, 0.23640830703079702, 0.23348429352045058, 0.23531346619129181, 0.2429025135934353, 0.2414370059967041)","(0.1922, 0.1926, 0.2119, 0.2125, 0.2174, 0.2369, 0.2337, 0.2359, 0.2431, 0.2417)","(2.421605348587036, 2.160466194152832, 2.229954957962036, 2.066102981567383, 2.040778398513794, 1.93929123878479, 2.1742799282073975, 1.9354703426361084, 1.9004253149032593, 2.211582660675049)","(0.1793096771463752, 0.20814623273909091, 0.23392782658338546, 0.20770720466971399, 0.2410289417952299, 0.2417519588023424, 0.2547411747276783, 0.26171321514993906, 0.264577429369092, 0.27493258491158484)","(0.18, 0.2082, 0.2335, 0.208, 0.2407, 0.2422, 0.2546, 0.263, 0.2649, 0.275)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(1.8458950519561768, 2.194261074066162, 2.06353497505188, 2.0777039527893066, 2.0855774879455566, 1.9362235069274902, 2.2010178565979004, 2.14274525642395, 2.216823101043701, 1.9117541313171387)","(0.18154980540275573, 0.20228977128863335, 0.20990862101316451, 0.22291868180036545, 0.21638648211956024, 0.2198258712887764, 0.22366648241877557, 0.23930547386407852, 0.23922851979732512, 0.23997152745723724)","(0.1821, 0.2034, 0.2114, 0.2242, 0.2176, 0.2211, 0.2249, 0.2404, 0.2404, 0.2412)","(2.3414764404296875, 2.438965320587158, 2.187593698501587, 1.882987380027771, 1.7865300178527832, 2.00510311126709, 2.153958320617676, 1.902978777885437, 1.9956363439559937, 2.049710750579834)","(0.2183516982011497, 0.19483160441741348, 0.2336644671857357, 0.23517181538045406, 0.2194832932204008, 0.24317677449434996, 0.22778992708772422, 0.24565069898962974, 0.2279259828850627, 0.24358226731419563)","(0.2182, 0.1948, 0.2333, 0.2347, 0.22, 0.2426, 0.2265, 0.2463, 0.2267, 0.2426)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.506493330001831, 2.271958351135254, 2.223851442337036, 2.3604037761688232, 2.217935085296631, 1.9624905586242676, 2.396746873855591, 2.1969494819641113, 2.295823097229004, 1.987027883529663)","(0.15881578624248505, 0.1552983820438385, 0.15594309233129025, 0.1577211543917656, 0.16085404977202417, 0.1592440504580736, 0.15511880684643983, 0.17235073484480382, 0.17439401112496852, 0.18297416754066945)","(0.1596, 0.1565, 0.1566, 0.1587, 0.1617, 0.1606, 0.1561, 0.1734, 0.1759, 0.1844)","(2.374840259552002, 2.3022611141204834, 2.1572518348693848, 2.2185959815979004, 2.209855079650879, 2.389699935913086, 2.36911678314209, 2.2938475608825684, 2.0378739833831787, 2.216367721557617)","(0.17671881625428795, 0.16096225925721228, 0.1633177287876606, 0.16644015163183212, 0.1505093364510685, 0.1634305512998253, 0.1700677101034671, 0.18504497036337852, 0.1977436144836247, 0.20519475396722556)","(0.1768, 0.1623, 0.1633, 0.1661, 0.1495, 0.163, 0.1703, 0.1843, 0.1969, 0.2048)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(2.040255069732666, 1.9833478927612305, 2.2653136253356934, 2.141754388809204, 2.22178053855896, 2.208174228668213, 2.2119529247283936, 2.224233388900757, 2.0569074153900146, 2.267030954360962)","(0.14706724360585213, 0.15241287425160407, 0.15398936495184898, 0.1688524678349495, 0.17560772076249123, 0.1845943585038185, 0.19661357998847961, 0.19871097728610038, 0.20222335457801818, 0.19855504631996154)","(0.148, 0.1533, 0.1553, 0.1704, 0.1769, 0.1862, 0.1979, 0.2002, 0.2037, 0.2002)","(2.057124137878418, 2.007859468460083, 2.129923105239868, 2.338594913482666, 1.9886159896850586, 2.245771884918213, 2.0849318504333496, 1.987870454788208, 2.1569600105285645, 2.0268030166625977)","(0.1554504889063537, 0.14649178339168428, 0.17169640753418208, 0.1863774498924613, 0.19625580180436372, 0.1822167731821537, 0.2047540026716888, 0.19143398758023977, 0.20275829585734756, 0.2173753198236227)","(0.155, 0.1462, 0.1708, 0.1871, 0.1961, 0.1821, 0.2041, 0.1903, 0.2022, 0.2173)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.1716651916503906, 2.219766616821289, 1.9094104766845703, 2.017599105834961, 2.0414516925811768, 2.0691988468170166, 2.2590935230255127, 2.1415157318115234, 2.4373505115509033, 1.6270872354507446)","(0.19016650691628456, 0.18509703353047371, 0.21430348828434945, 0.21351087614893913, 0.22315087616443635, 0.2199459306895733, 0.2261028118431568, 0.22294466495513915, 0.23125359863042833, 0.22901015654206275)","(0.1906, 0.1857, 0.215, 0.2138, 0.2236, 0.2205, 0.2264, 0.2233, 0.2318, 0.2294)","(1.9613834619522095, 2.3073458671569824, 2.260441541671753, 1.9366557598114014, 2.368161201477051, 1.9775997400283813, 1.7738637924194336, 2.120046854019165, 2.097982406616211, 2.305262327194214)","(0.20384975140914322, 0.20954590179026128, 0.220095244795084, 0.23760404475033284, 0.22486491240561007, 0.23773351088166236, 0.23786586821079253, 0.25038675516843795, 0.24396289251744746, 0.2513342171907425)","(0.2042, 0.2111, 0.2211, 0.2376, 0.2247, 0.2369, 0.2377, 0.2506, 0.2445, 0.251)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(2.101813316345215, 2.329334259033203, 2.2337472438812256, 2.2581043243408203, 2.3390870094299316, 2.4255869388580322, 2.1558425426483154, 1.9103871583938599, 2.0385398864746094, 2.02245831489563)","(0.18960657045245172, 0.20536599606275557, 0.2202317476272583, 0.22438911870121955, 0.22379465401172638, 0.234077600389719, 0.24938895478844642, 0.237296549603343, 0.25269234403967855, 0.25579630099236966)","(0.1901, 0.2061, 0.221, 0.2248, 0.2241, 0.2346, 0.25, 0.2382, 0.2536, 0.2564)","(2.1838226318359375, 2.0832626819610596, 2.0761008262634277, 2.360934019088745, 2.377473831176758, 1.6870040893554688, 2.001760959625244, 2.0981199741363525, 2.201288938522339, 2.1042063236236572)","(0.2059399859048426, 0.2183820653706789, 0.24027540050446988, 0.22120857210829853, 0.2390929289162159, 0.2586619535461068, 0.25735565982759, 0.2559475265443325, 0.2547759246081114, 0.2633253561332822)","(0.2063, 0.2185, 0.2409, 0.2207, 0.2393, 0.2598, 0.2581, 0.2556, 0.2544, 0.2635)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.493025302886963, 2.3247106075286865, 2.3989524841308594, 2.369730234146118, 2.2025318145751953, 2.2596993446350098, 2.2606024742126465, 2.0900328159332275, 2.369023084640503, 2.073817014694214)","(0.15256551280617714, 0.14868502095341682, 0.14392538368701935, 0.13813765086233615, 0.1498172551393509, 0.14216852709650993, 0.1522421609610319, 0.15611910969018936, 0.16855684407055377, 0.17729651406407357)","(0.1532, 0.1496, 0.1447, 0.1393, 0.151, 0.1432, 0.1542, 0.1577, 0.1707, 0.1794)","(2.248178482055664, 2.1172263622283936, 2.303678274154663, 2.2325878143310547, 2.131744861602783, 2.1781585216522217, 2.1790273189544678, 2.191354751586914, 2.225393533706665, 2.1232728958129883)","(0.1594989325851202, 0.1649577643722296, 0.1549780625384301, 0.1528111848048866, 0.16004026597365736, 0.16318225674331188, 0.1719231393188238, 0.17273439206182956, 0.19070036474149674, 0.19765146288555116)","(0.1605, 0.1644, 0.1542, 0.1518, 0.1599, 0.163, 0.1715, 0.1721, 0.1898, 0.1962)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(2.2528209686279297, 2.2828867435455322, 2.1917386054992676, 2.337705135345459, 2.238975763320923, 2.190333127975464, 2.192391872406006, 2.2290265560150146, 2.024827480316162, 1.9691694974899292)","(0.12159299701452256, 0.11329657509922982, 0.12299677692353725, 0.12965562492609023, 0.13204489536583425, 0.1375667132437229, 0.14947165828198195, 0.16619216054677963, 0.17562345303595067, 0.17584538366645575)","(0.1218, 0.1136, 0.1234, 0.1301, 0.1328, 0.1384, 0.1506, 0.1674, 0.1774, 0.1775)","(2.3099052906036377, 2.324983835220337, 2.3631114959716797, 2.2465431690216064, 2.3130674362182617, 2.16815447807312, 2.294254779815674, 2.331692695617676, 2.119525909423828, 2.347452163696289)","(0.11659014355391265, 0.12849538892041892, 0.13332708831876516, 0.14276314480230212, 0.1530563364736736, 0.14548142480198295, 0.15899364874931052, 0.18944700080901383, 0.1797086968552321, 0.18396366322413088)","(0.1177, 0.1297, 0.1349, 0.1424, 0.1533, 0.1465, 0.1599, 0.1891, 0.1794, 0.1841)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.420482635498047, 2.192697048187256, 2.35266375541687, 2.211897611618042, 2.2892820835113525, 2.2322452068328857, 1.9861421585083008, 2.0242960453033447, 1.9436063766479492, 2.2053332328796387)","(0.16929121017456056, 0.16514822021126746, 0.182297982275486, 0.17974694073200226, 0.17904070243239403, 0.1862261675298214, 0.18580166548490523, 0.18852810524404048, 0.18502869494259358, 0.18937609884887935)","(0.1698, 0.1659, 0.1833, 0.1806, 0.1802, 0.1867, 0.1868, 0.1897, 0.1861, 0.1899)","(2.326909065246582, 2.1742491722106934, 2.1271982192993164, 2.015108585357666, 2.264326333999634, 2.2884163856506348, 2.2688910961151123, 2.4204764366149902, 2.099938154220581, 2.122194290161133)","(0.21038606930524112, 0.19930002447217704, 0.2113288507796824, 0.193273089453578, 0.19681609589606525, 0.19319261689670383, 0.19066668979357929, 0.19102594673167914, 0.193328870087862, 0.20041841911152006)","(0.2106, 0.1988, 0.2126, 0.1917, 0.1971, 0.1938, 0.1904, 0.1906, 0.1926, 0.1997)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(2.018216609954834, 2.184875726699829, 2.130756378173828, 2.071624279022217, 2.139667272567749, 2.053892135620117, 1.9660626649856567, 2.17612886428833, 2.163809061050415, 2.0189638137817383)","(0.16932617500424385, 0.16979719027876855, 0.17718450501561164, 0.18289026990532875, 0.18647327423095703, 0.19654863849282264, 0.21029890701174736, 0.2225982930511236, 0.22083154916763306, 0.23425695151090623)","(0.17, 0.1705, 0.1782, 0.1838, 0.1872, 0.1971, 0.2109, 0.223, 0.2218, 0.235)","(2.2163515090942383, 2.4287357330322266, 2.340599775314331, 2.0503814220428467, 2.1514711380004883, 2.3332948684692383, 2.1582043170928955, 1.9187313318252563, 2.0460205078125, 2.1466891765594482)","(0.17517178896814584, 0.2066687574610114, 0.20868280939757824, 0.19987407196313142, 0.19677762147039174, 0.2186514899134636, 0.23331022784113883, 0.24987997226417064, 0.24663466745987533, 0.2379567552357912)","(0.176, 0.2062, 0.2097, 0.2007, 0.1966, 0.2177, 0.2338, 0.2506, 0.247, 0.2389)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.0495662689208984, 2.350605010986328, 2.264626979827881, 2.2801010608673096, 2.290418863296509, 2.261829376220703, 2.389714241027832, 2.3244376182556152, 2.3617026805877686, 2.0880494117736816)","(0.13052811697125435, 0.13191834092140198, 0.11802826225757598, 0.12821763046085835, 0.12879568561911584, 0.1296066114678979, 0.13204188644886017, 0.1402781842276454, 0.16328673623502254, 0.16322032883763313)","(0.131, 0.1328, 0.1189, 0.1295, 0.1305, 0.1314, 0.1334, 0.1422, 0.1651, 0.165)","(2.2308545112609863, 2.3701157569885254, 2.294351100921631, 2.290832042694092, 2.3061940670013428, 2.2636189460754395, 2.2892277240753174, 2.288947105407715, 2.215327262878418, 2.157517433166504)","(0.156450179615058, 0.15036439746618271, 0.14969867332838477, 0.14562277719378472, 0.11615033904090524, 0.14818962635472416, 0.15459912517108024, 0.1787720856256783, 0.18542650807648897, 0.18569805989973248)","(0.1568, 0.1515, 0.1497, 0.1446, 0.1144, 0.1475, 0.1541, 0.1779, 0.1842, 0.1845)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(2.458259105682373, 2.237879753112793, 1.9792661666870117, 2.185387134552002, 2.217019557952881, 2.2983295917510986, 2.4019765853881836, 2.156820297241211, 2.307990312576294, 2.1954891681671143)","(0.12970001474022866, 0.14572188556194304, 0.15374173149466513, 0.14771332629024983, 0.14584356620907785, 0.1419280454516411, 0.15672419536858798, 0.17036209236830474, 0.16520704440772532, 0.17153422329574824)","(0.13, 0.1468, 0.1552, 0.1489, 0.1465, 0.1423, 0.1578, 0.1714, 0.1661, 0.1743)","(2.2355282306671143, 2.162991523742676, 2.3064699172973633, 2.30647611618042, 2.2881109714508057, 2.2623236179351807, 2.2998549938201904, 2.2817227840423584, 2.204659938812256, 2.165325880050659)","(0.14979251441545785, 0.14338956316933035, 0.15866195005364717, 0.17486515501514077, 0.15518540972843767, 0.15376343915704638, 0.16407198985107244, 0.16647642026655377, 0.18407478425651788, 0.16643099915236234)","(0.1485, 0.1447, 0.1583, 0.1746, 0.1556, 0.1539, 0.1625, 0.1659, 0.1832, 0.1654)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
VisionTransformerShallowOpt,"(2.5253710746765137, 2.0777549743652344, 2.2819652557373047, 2.243283987045288, 1.9415863752365112, 2.0898382663726807, 2.067294120788574, 2.1794934272766113, 2.355703830718994, 2.058819055557251)","(0.16525671854615212, 0.16722094267606735, 0.1781787220388651, 0.16928648222237824, 0.18572635985910893, 0.18555106557905673, 0.18241097014397384, 0.1861157301813364, 0.18349460065364837, 0.18652663230895997)","(0.1658, 0.168, 0.1793, 0.1699, 0.1869, 0.1868, 0.1836, 0.1872, 0.1846, 0.1873)","(1.8414829969406128, 2.2400588989257812, 2.145941972732544, 2.120525360107422, 2.0485663414001465, 2.131244421005249, 1.9991101026535034, 2.055372953414917, 2.2930703163146973, 1.957155466079712)","(0.1783277403563261, 0.18178426381200552, 0.19418746139854193, 0.18509312653914095, 0.2069264417514205, 0.1882852256298065, 0.20267276200465859, 0.22509980564936996, 0.20135985352098942, 0.22845915108919143)","(0.1779, 0.1827, 0.194, 0.1845, 0.2062, 0.189, 0.2022, 0.225, 0.2014, 0.2276)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
VisionTransformerShallowOpt,"(2.1540920734405518, 2.1673686504364014, 2.147385597229004, 2.1172103881835938, 2.157830238342285, 2.111940383911133, 2.0798184871673584, 2.348607063293457, 2.0808491706848145, 2.0475246906280518)","(0.16278859078884125, 0.16341628581285478, 0.183826345205307, 0.1928315356373787, 0.204606518894434, 0.19951529800891876, 0.21418741196393967, 0.20974661111831666, 0.20497187077999116, 0.2216108486056328)","(0.1634, 0.1639, 0.1843, 0.193, 0.2049, 0.1996, 0.2146, 0.2098, 0.2055, 0.222)","(2.2654261589050293, 1.9304022789001465, 2.273900270462036, 1.8812018632888794, 2.0131614208221436, 2.116737127304077, 2.111968755722046, 1.8819983005523682, 2.222835063934326, 1.9541866779327393)","(0.19845245946198703, 0.20795410880818962, 0.19783189073204993, 0.24773080181330442, 0.23567086092662065, 0.24048900380730628, 0.23747201459482312, 0.24394351239316164, 0.2561161117628217, 0.23536466527730227)","(0.1987, 0.2078, 0.1989, 0.2479, 0.236, 0.2408, 0.2381, 0.2436, 0.2568, 0.2352)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
